ST	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	lineage_ICE
34	18	20	27	18	13	41	83	22	8	26	46	ybt 4; plasmid
35	18	20	27	31	13	170	71	19	8	30	35	ybt 4; plasmid
36	18	20	43	18	13	97	71	30	8	26	35	ybt 4; plasmid
37	18	27	30	18	44	156	154	9	8	26	35	ybt 4; plasmid
38	18	81	27	18	13	76	77	35	8	26	35	ybt 4; plasmid
39	19	1	1	1	1	58	42	1	1	24	13	ybt 12; ICEKp10
40	19	1	1	20	1	46	42	1	1	21	53	ybt 12; ICEKp10
41	19	1	1	20	1	46	42	1	1	21	13	ybt 12; ICEKp10
42	19	1	53	1	1	172	117	1	1	21	13	ybt 12; ICEKp10
43	2	17	2	2	2	36	6	2	2	2	2	ybt 1; ICEKp10
44	2	2	2	2	2	121	119	2	2	2	2	ybt 1; ICEKp10
45	2	2	2	2	2	116	6	2	2	2	2	ybt 1; ICEKp10
46	2	2	2	2	2	36	6	2	2	2	2	ybt 1; ICEKp10
47	2	2	2	2	2	6	6	2	2	2	2	ybt 1; ICEKp10
48	2	2	2	2	2	116	156	2	2	2	2	ybt 1; ICEKp10
49	2	2	2	2	2	6	57	2	2	37	2	ybt 1; ICEKp10
50	2	2	2	2	2	66	6	2	2	2	2	ybt 1; ICEKp10
51	2	2	2	2	2	44	6	2	2	2	2	ybt 1; ICEKp10
52	2	2	2	2	2	6	118	2	2	2	2	ybt 1; ICEKp10
53	2	2	2	2	2	6	124	2	2	2	2	ybt 1; ICEKp10
54	2	2	2	2	2	6	40	2	2	2	2	ybt 1; ICEKp10
55	2	2	2	2	2	6	6	2	2	2	15	ybt 1; ICEKp10
56	2	2	2	2	2	6	6	2	2	106	2	ybt 1; ICEKp10
57	2	2	2	2	2	6	6	49	2	2	2	ybt 1; ICEKp10
58	2	2	2	2	2	6	68	2	2	2	2	ybt 1; ICEKp10
59	2	2	2	70	2	36	158	2	2	2	2	ybt 1; ICEKp10
60	2	84	2	57	37	6	182	43	2	18	2	ybt 1; ICEKp10
61	20	11	6	5	1	34	15	9	5	5	25	ybt 9; ICEKp3
62	22	22	6	24	16	53	266	9	17	5	30	ybt 6; ICEKp5
63	22	22	6	24	16	53	51	9	17	5	30	ybt 6; ICEKp5
64	23	27	30	18	13	110	61	9	18	26	35	ybt 4; plasmid
65	23	27	30	18	13	65	61	9	18	26	35	ybt 4; plasmid
66	23	31	30	18	13	65	61	9	18	26	35	ybt 4; plasmid
67	24	11	34	33	1	75	73	9	20	31	40	ybt 7; ICEKp7
68	25	15	22	4	1	37	75	14	1	33	17	ybt 15; ICEKp11
69	28	11	6	5	1	25	37	9	5	5	11	ybt 9; ICEKp3
70	29	32	36	36	22	84	82	21	22	39	34	ybt 23; ICEKp14
71	3	10	4	3	29	111	94	29	10	41	10	ybt 10; ICEKp4
72	3	10	4	3	7	5	5	3	10	9	10	ybt 10; ICEKp4?
73	3	110	4	11	3	83	18	3	10	16	2	ybt 10; ICEKp4
74	3	12	32	3	20	229	181	3	10	29	138	ybt 10; ICEKp4
75	3	12	32	3	20	229	235	3	10	29	2	ybt 10; ICEKp4
76	3	12	32	3	56	11	229	3	10	56	2	ybt 10; ICEKp4?
77	3	12	32	3	56	225	231	3	10	56	2	ybt 10; ICEKp4?
78	3	12	4	11	3	21	18	3	10	16	2	ybt 10; ICEKp4
79	3	12	4	11	3	21	18	3	10	16	64	ybt 10; ICEKp4
80	3	12	4	11	3	83	18	3	10	16	2	ybt 10; ICEKp4
81	3	12	4	19	3	42	39	3	10	9	24	ybt 10; ICEKp4
82	3	12	4	19	3	82	39	3	10	9	24	ybt 10; ICEKp4
83	3	12	4	23	15	52	49	3	16	8	2	ybt 10; ICEKp4
84	3	12	4	3	14	50	274	3	15	8	2	ybt 10; ICEKp4
85	3	12	4	3	14	215	216	3	15	8	73	ybt 10; ICEKp4
86	3	12	4	3	14	50	46	3	15	8	28	ybt 10; ICEKp4
87	3	12	4	3	3	100	101	3	30	9	2	ybt 10; ICEKp4
88	3	12	4	3	3	35	108	3	10	9	61	ybt 10; ICEKp4
89	3	12	4	3	3	35	59	3	10	9	2	ybt 10; ICEKp4
90	3	12	4	3	3	85	84	23	10	9	2	ybt 10; ICEKp4
91	3	12	4	3	3	85	85	3	10	42	2	ybt 10; ICEKp4
92	3	12	4	30	19	71	69	3	19	9	2	ybt 10; ICEKp4
93	3	12	4	32	3	21	72	3	10	16	2	ybt 10; ICEKp4
94	3	12	4	64	3	137	139	3	10	60	65	ybt 10; ICEKp4
95	3	12	4	66	3	137	139	3	10	60	65	ybt 10; ICEKp4
96	3	12	4	72	3	85	173	3	10	42	2	ybt 10; ICEKp4
97	3	12	4	78	29	173	254	3	10	9	2	ybt 10; ICEKp4
98	3	12	55	3	29	123	128	3	10	9	58	ybt 10; ICEKp4
99	3	12	55	3	29	186	195	3	10	9	2	ybt 10; ICEKp4
100	3	12	59	66	3	137	139	3	10	60	65	ybt 10; ICEKp4
101	3	12	78	84	20	213	214	3	10	56	104	ybt 10; ICEKp4
102	3	24	4	3	17	56	7	18	3	3	32	ybt 10; ICEKp4
103	3	29	32	3	20	72	70	3	10	29	38	ybt 10; ICEKp4
104	3	3	4	3	17	56	7	18	3	3	32	ybt 10; ICEKp4
105	3	3	4	3	3	7	35	3	13	3	18	ybt 10; ICEKp4?
106	3	3	4	3	3	7	7	3	3	3	3	ybt 10; ICEKp4
107	3	3	4	3	3	7	7	3	3	3	32	ybt 10; ICEKp4
108	3	3	75	3	3	189	196	3	3	89	32	ybt 10; ICEKp4
109	3	30	4	34	21	77	76	3	10	9	2	ybt 10; ICEKp4
110	3	36	4	40	21	92	91	3	19	9	2	ybt 10; ICEKp4
111	3	42	32	3	20	80	109	3	10	56	62	ybt 10; ICEKp4?
112	3	50	4	3	29	5	122	3	10	9	51	ybt 10; ICEKp4
113	3	60	4	3	1	132	135	44	10	57	59	ybt 10; ICEKp4
114	3	75	32	3	54	246	264	3	70	102	135	ybt 10; ICEKp4
115	3	75	81	3	54	219	222	3	10	102	111	ybt 10; ICEKp12
116	30	34	37	37	23	73	87	25	23	45	49	ybt 4; plasmid
117	30	39	37	44	28	177	102	25	23	45	57	ybt 4; plasmid
118	31	35	38	38	1	89	88	26	24	5	50	ybt 0; ICEKp13
119	32	12	39	118	25	244	259	56	10	8	132	ybt 10; ICEKp4
120	32	12	39	3	25	195	202	56	10	8	2	ybt 10; ICEKp4
121	32	12	39	39	25	91	90	27	25	46	2	ybt 10; ICEKp4
122	33	37	40	41	1	93	92	28	26	8	52	ybt 0; ICEKp9
123	35	38	48	45	31	112	120	33	31	48	45	ybt 3; ICEKp8
124	35	38	48	79	31	112	120	33	31	48	45	ybt 3; ICEKp8
125	37	34	37	44	28	104	143	25	23	45	49	ybt 4; plasmid
126	39	1	49	1	1	115	123	1	36	49	13	ybt 12; ICEKp10
127	39	1	49	1	1	223	123	1	36	49	13	ybt 12; ICEKp10
128	39	1	49	50	1	115	123	1	36	49	13	ybt 12; ICEKp10
129	39	1	49	87	1	216	220	1	36	49	108	ybt 12; ICEKp10
130	39	1	88	1	1	115	123	1	36	49	13	ybt 12; ICEKp10
131	4	111	5	4	1	247	184	2	4	4	2	ybt 14; ICEKp5?
132	4	113	108	120	1	263	273	2	4	4	101	ybt 14; ICEKp5
133	4	16	17	4	1	27	230	12	4	14	2	ybt 14; ICEKp5
134	4	4	106	4	1	69	62	2	4	4	20	ybt 14; ICEKp5
135	4	4	18	4	1	27	25	2	4	4	2	ybt 14; ICEKp5
136	4	4	18	4	1	27	25	2	4	28	2	ybt 14; ICEKp5
137	4	4	18	4	1	90	25	2	4	4	2	ybt 14; ICEKp5
138	4	4	31	4	1	175	171	2	4	4	36	ybt 14; ICEKp5
139	4	4	31	4	1	193	150	2	4	4	94	ybt 14; ICEKp5
140	4	4	31	4	1	67	171	2	4	4	36	ybt 14; ICEKp5
141	4	4	31	4	1	67	64	2	4	4	36	ybt 14; ICEKp5
142	4	4	31	67	1	67	150	2	4	4	70	ybt 14; ICEKp5
143	4	4	5	4	1	162	164	2	4	74	2	ybt 14; ICEKp12
144	4	4	5	4	1	140	62	2	4	4	20	ybt 14; ICEKp5
145	4	4	5	4	1	8	47	2	4	4	2	ybt 14; ICEKp5
146	4	4	5	4	1	131	134	41	4	4	2	ybt 14; ICEKp5
147	4	4	5	4	1	183	191	2	4	4	20	ybt 14; ICEKp5
148	4	4	5	4	1	240	62	2	4	4	20	ybt 14; ICEKp5
149	4	4	5	4	1	275	285	2	49	4	2	ybt 14; ICEKp5
150	4	4	5	4	1	69	160	2	4	4	81	ybt 14; ICEKp5
151	4	4	5	4	1	69	62	2	4	4	20	ybt 14; ICEKp5
152	4	4	5	4	1	8	8	2	4	4	86	ybt 14; ICEKp5
153	4	4	5	4	42	27	147	2	4	4	2	ybt 14; ICEKp5
154	4	4	5	4	59	8	8	2	4	4	2	ybt 14; ICEKp5
155	4	4	56	117	1	237	256	2	4	4	60	ybt 14; ICEKp5?
156	4	4	56	4	1	135	137	2	4	4	60	ybt 14; ICEKp5?
157	41	11	6	25	38	127	37	39	5	5	11	ybt 9; ICEKp3
158	41	11	6	25	38	139	141	39	5	5	67	ybt 9; ICEKp3
159	42	2	2	2	2	6	6	2	2	61	2	ybt 1; ICEKp10
160	44	61	58	65	40	138	140	45	38	63	66	ybt 26; ICEKp18
161	46	63	61	68	43	148	152	48	40	71	71	ybt 19; ICEKp16
162	47	12	4	3	3	35	50	3	10	23	2	ybt 10; ICEKp4
163	49	64	63	3	45	160	157	3	10	73	80	ybt 10; ICEKp2
164	49	64	63	3	45	194	157	3	10	73	80	ybt 10; ICEKp2
165	5	108	6	5	1	99	138	9	29	5	79	ybt 8; ICEKp9
166	5	11	45	5	1	99	291	9	29	109	11	ybt 8; ICEKp9
167	5	11	45	5	1	99	180	9	29	109	11	ybt 8; ICEKp9
168	5	11	45	5	1	99	98	9	29	5	56	ybt 8; ICEKp9
169	5	11	54	5	35	122	121	9	29	5	11	ybt 8; ICEKp3?
170	5	11	54	5	35	122	98	9	29	5	11	ybt 8; ICEKp3
171	5	11	6	25	1	54	37	9	5	5	11	ybt 9; ICEKp3
172	5	11	6	35	1	25	78	9	5	5	11	ybt 9; ICEKp3
173	5	11	6	5	1	130	37	9	5	5	11	ybt 9; ICEKp3
174	5	11	6	5	1	34	15	9	5	5	11	ybt 9; ICEKp3
175	5	11	6	5	1	136	138	9	29	5	63	ybt 8; ICEKp9
176	5	11	6	5	1	144	37	9	5	5	11	ybt 9; ICEKp3
177	5	11	6	5	1	159	15	9	5	5	11	ybt 9; ICEKp3
178	5	11	6	5	1	16	15	9	5	5	11	ybt 9; ICEKp3
179	5	11	6	5	1	16	37	9	5	5	11	ybt 9; ICEKp3
180	5	11	6	5	1	16	37	9	5	5	133	ybt 9; ICEKp3
181	5	11	6	5	1	171	172	9	5	5	11	ybt 9; ICEKp3
182	5	11	6	5	1	243	37	9	5	5	11	ybt 9; ICEKp3
183	5	11	6	5	1	25	37	9	5	5	11	ybt 9; ICEKp3
184	5	11	6	5	1	25	175	9	5	5	11	ybt 9; ICEKp3
185	5	11	6	5	1	25	258	9	5	5	11	ybt 9; ICEKp3
186	5	11	6	5	1	25	261	9	5	5	134	ybt 9; ICEKp3
187	5	11	6	5	1	25	282	9	5	5	11	ybt 9; ICEKp3
188	5	11	6	5	1	25	286	9	5	5	11	ybt 9; ICEKp3
189	5	11	6	5	1	254	15	9	5	5	25	ybt 9; ICEKp3
190	5	11	6	5	1	271	279	9	5	5	11	ybt 9; ICEKp3
191	5	11	6	5	1	271	292	9	5	5	11	ybt 9; ICEKp3
192	5	11	6	5	1	60	65	9	5	5	11	ybt 9; ICEKp3
193	5	11	6	5	1	34	15	9	5	5	25	ybt 9; ICEKp3
194	5	11	6	5	1	40	37	9	5	5	11	ybt 9; ICEKp3
195	5	11	6	5	1	99	138	9	29	5	79	ybt 8; ICEKp9
196	5	11	6	5	30	105	107	36	33	55	11	ybt 8; ICEKp3
197	5	11	6	63	1	136	138	9	29	5	63	ybt 8; ICEKp9
198	5	11	6	69	1	149	15	9	5	5	11	ybt 9; ICEKp3
199	5	11	65	5	1	25	37	9	5	5	11	ybt 9; ICEKp3
200	5	19	26	26	1	109	53	9	5	5	21	ybt 9; ICEKp3
201	5	19	26	26	1	109	58	9	5	5	21	ybt 9; ICEKp3
202	5	19	26	5	1	79	53	9	5	5	21	ybt 9; ICEKp3
203	5	19	26	5	1	79	53	9	5	32	21	ybt 9; ICEKp3
204	5	19	26	5	1	178	53	9	5	5	21	ybt 9; ICEKp3
205	5	19	26	5	1	79	262	9	5	5	21	ybt 9; ICEKp3
206	5	19	26	5	1	79	194	9	5	5	21	ybt 9; ICEKp3
207	5	19	26	5	1	79	53	55	5	5	21	ybt 9; ICEKp3
208	5	19	51	55	1	16	126	9	5	5	55	ybt 9; ICEKp3
209	5	19	6	5	1	51	48	9	5	5	21	ybt 9; ICEKp3
210	5	19	6	5	1	51	193	9	5	5	93	ybt 9; ICEKp12
211	5	23	6	5	1	55	52	9	5	5	31	ybt 9; ICEKp3
212	5	23	6	5	1	55	52	9	5	5	48	ybt 9; ICEKp3
213	5	23	6	5	1	59	52	9	5	5	33	ybt 9; ICEKp3
214	5	28	6	5	1	25	37	9	5	5	11	ybt 9; ICEKp3
215	5	43	6	5	32	107	110	9	5	5	11	ybt 9; ICEKp3
216	5	49	26	5	1	79	95	9	5	5	21	ybt 9; ICEKp3
217	5	5	6	5	1	9	218	4	5	5	4	ybt 9; ICEKp3
218	5	5	6	5	1	218	218	9	5	5	4	ybt 9; ICEKp3
219	5	11	6	5	1	38	176	9	5	5	11	ybt 9; ICEKp3
220	52	65	64	71	46	161	159	50	11	4	2	ybt 20; ICEKp10
221	53	34	37	44	47	104	102	25	23	45	49	ybt 4; plasmid
222	54	114	110	123	1	284	300	33	77	114	145	ybt 28; ICEKp6
223	54	67	68	73	1	31	31	51	1	84	88	ybt 0; ICEKp5
224	58	61	73	77	1	182	190	45	38	87	91	ybt 21; ICEKp11
225	59	11	34	33	1	184	73	9	20	31	40	ybt 7; ICEKp7
226	6	115	44	13	11	28	26	2	11	4	2	ybt 17; ICEKp10
227	6	14	16	12	10	24	21	11	11	12	14	ybt 0; ICEKp10
228	6	15	109	4	11	33	23	2	11	4	143	ybt 16; ICEKp12
229	6	15	22	4	1	37	63	14	1	27	17	ybt 15; ICEKp11
230	6	15	22	4	1	37	34	14	1	4	17	ybt 15; ICEKp11
231	6	15	22	4	1	37	34	14	1	33	17	ybt 15; ICEKp11
232	6	15	22	4	1	37	34	14	1	33	47	ybt 15; ICEKp11
233	6	15	22	4	1	43	34	14	1	4	17	ybt 15; ICEKp11
234	6	15	25	4	11	118	32	16	14	4	2	ybt 17; ICEKp10
235	6	15	25	4	11	32	32	16	14	4	2	ybt 17; ICEKp10
236	6	15	25	53	34	95	97	46	14	4	2	ybt 17; ICEKp10
237	6	15	28	21	11	47	43	2	11	4	27	ybt 16; ICEKp12
238	6	15	29	28	1	57	60	2	1	25	26	ybt 15; ICEKp11
239	6	15	33	4	11	28	26	2	11	4	2	ybt 17; ICEKp10
240	6	15	44	13	11	150	26	2	11	4	2	ybt 17; ICEKp10
241	6	15	44	13	11	152	26	2	11	4	2	ybt 17; ICEKp10
242	6	15	44	13	11	153	26	2	11	4	2	ybt 17; ICEKp10
243	6	15	44	13	11	155	26	2	11	4	2	ybt 17; ICEKp10
244	6	15	44	13	11	157	26	2	11	4	2	ybt 17; ICEKp10
245	6	15	44	13	11	169	26	2	11	4	2	ybt 17; ICEKp10
246	6	15	44	13	11	199	26	2	11	4	2	ybt 17; ICEKp10
247	6	15	44	13	11	198	26	2	11	4	96	ybt 17; ICEKp10
248	6	15	44	13	11	201	26	2	11	4	73	ybt 17; ICEKp10
249	6	15	44	13	11	203	26	2	11	4	2	ybt 17; ICEKp10
250	6	15	44	13	11	207	26	2	11	4	2	ybt 17; ICEKp10
251	6	15	44	13	11	28	26	2	11	4	2	ybt 17; ICEKp10
252	6	15	44	13	11	28	177	2	11	4	2	ybt 17; ICEKp10
253	6	15	44	13	11	28	205	2	11	4	74	ybt 17; ICEKp10
254	6	15	44	13	11	28	207	2	11	4	2	ybt 17; ICEKp10
255	6	15	44	13	11	28	26	2	11	4	101	ybt 17; ICEKp10
256	6	15	44	13	11	28	26	2	11	4	72	ybt 17; ICEKp10
257	6	15	44	13	11	28	26	2	11	4	73	ybt 17; ICEKp10
258	6	15	44	13	11	28	26	2	11	4	74	ybt 17; ICEKp10
259	6	15	44	13	11	28	26	2	11	4	76	ybt 17; ICEKp10
260	6	15	44	13	11	28	26	2	11	72	78	ybt 17; ICEKp10
261	6	15	44	13	11	28	26	2	11	4	98	ybt 17; ICEKp10
262	6	15	44	13	11	28	26	2	41	4	75	ybt 17; ICEKp10
263	6	15	44	13	52	28	206	2	11	4	2	ybt 17; ICEKp10
264	6	15	5	13	11	191	26	2	11	4	2	ybt 17; ICEKp10
265	6	15	5	13	11	279	29	2	11	4	2	ybt 17; ICEKp10
266	6	15	5	13	11	28	198	2	11	4	2	ybt 17; ICEKp10
267	6	15	5	13	11	28	26	2	11	4	2	ybt 17; ICEKp10
268	6	15	5	13	11	28	26	2	11	4	73	ybt 17; ICEKp10
269	6	15	5	13	11	28	29	2	11	4	2	ybt 17; ICEKp10
270	6	15	5	13	11	28	29	2	11	4	83	ybt 17; ICEKp10
271	6	15	5	13	11	28	302	2	11	4	2	ybt 17; ICEKp10
272	6	15	5	13	48	28	26	2	11	4	2	ybt 17; ICEKp10
273	6	15	5	4	1	37	44	2	1	4	26	ybt 15; ICEKp11
274	6	15	5	4	1	45	41	2	1	4	26	ybt 15; ICEKp11?
275	6	15	5	4	1	37	100	32	1	4	26	ybt 15; ICEKp11
276	6	15	5	4	1	48	44	2	1	4	26	ybt 15; ICEKp11
277	6	15	5	4	11	33	23	2	11	4	2	ybt 16; ICEKp12
278	6	15	5	4	11	74	23	2	11	4	2	ybt 16; ICEKp12
279	6	15	5	4	11	245	178	93	11	4	2	ybt 16; ICEKp12
280	6	15	5	4	11	125	129	2	11	51	2	ybt 16; ICEKp12
281	6	15	5	4	11	78	26	2	11	4	2	ybt 17; ICEKp10
282	6	15	5	4	11	167	26	2	11	4	2	ybt 17; ICEKp10
283	6	15	5	4	11	174	26	2	11	4	73	ybt 17; ICEKp10
284	6	15	5	4	11	26	23	2	11	4	2	ybt 16; ICEKp12
285	6	15	5	4	11	147	151	2	11	51	2	ybt 16; ICEKp12
286	6	15	5	4	11	218	23	2	11	4	110	ybt 16; ICEKp12
287	6	15	5	4	11	239	23	2	11	4	2	ybt 16; ICEKp12
288	6	15	5	4	11	28	203	57	47	91	2	ybt 17; ICEKp10
289	6	15	5	4	11	28	26	2	11	4	2	ybt 17; ICEKp10
290	6	15	5	4	11	33	23	2	11	4	54	ybt 16; ICEKp12
291	6	15	5	4	11	28	301	2	11	4	2	ybt 17; ICEKp10
292	6	15	5	4	11	28	303	2	11	4	2	ybt 17; ICEKp10
293	6	15	5	4	11	285	26	2	11	4	2	ybt 17; ICEKp10
294	6	15	5	4	11	286	304	2	11	4	2	ybt 16; ICEKp12
295	6	15	5	80	11	190	197	11	11	4	2	ybt 17; ICEKp10
296	6	15	5	91	11	218	236	2	11	4	116	ybt 16; ICEKp12
297	6	15	62	13	11	28	26	2	11	4	2	ybt 17; ICEKp10
298	6	4	20	14	1	126	131	2	4	52	144	ybt 13; ICEKp2
299	6	4	20	14	1	126	131	2	4	52	2	ybt 13; ICEKp2
300	6	4	20	14	1	126	146	2	4	52	2	ybt 13; ICEKp2
301	6	4	20	14	1	30	30	13	4	15	16	ybt 13; ICEKp2
302	6	4	20	61	1	126	130	2	4	4	2	ybt 13; ICEKp2
303	6	4	20	61	1	253	272	2	76	4	2	ybt 13; ICEKp2
304	6	4	20	61	1	253	283	2	76	4	2	ybt 13; ICEKp2
305	6	4	20	61	1	258	131	2	4	4	139	ybt 13; ICEKp2
306	6	58	21	54	1	106	112	43	12	17	2	ybt 14; ICEKp2
307	6	6	7	4	1	10	10	5	6	6	5	ybt 11; ICE_rhino
308	6	6	7	4	1	10	226	61	6	6	114	ybt 11; ICE_rhino
309	6	6	7	4	1	176	185	5	6	82	5	ybt 11; ICE_rhino
310	6	6	7	86	1	10	219	5	6	6	107	ybt 11; ICE_rhino
311	6	6	7	88	1	217	221	59	6	6	109	ybt 11; ICE_rhino
312	6	62	60	4	1	145	148	2	39	69	2	ybt 27; ICEKp22
313	65	15	22	4	1	37	209	14	1	4	17	ybt 15; ICEKp11
314	68	74	79	85	53	214	215	58	50	100	105	ybt 24; ICEKp16
315	7	1	1	1	1	3	13	1	1	1	1	ybt 12; ICEKp10
316	7	1	1	1	1	3	16	1	1	1	1	ybt 12; ICEKp10
317	7	1	1	22	1	49	45	1	1	1	13	ybt 12; ICEKp10
318	73	12	85	3	20	224	144	3	10	56	136	ybt 10; ICEKp4
319	73	12	85	3	20	224	228	3	10	56	115	ybt 10; ICEKp4
320	8	46	9	6	5	13	93	6	7	7	6	ybt 2; ICEKp1
321	8	55	50	6	5	117	125	6	7	7	6	ybt 2; ICEKp1
322	8	7	24	17	5	39	17	6	7	7	6	ybt 2; ICEKp1
323	8	7	9	6	5	13	1	6	7	7	6	ybt 2; ICEKp1
324	8	7	9	6	5	13	36	6	7	7	6	ybt 2; ICEKp1
325	88	12	4	121	21	272	280	3	72	9	2	ybt 10; ICEKp4
326	9	7	9	6	5	1	1	6	7	7	6	ybt 2; ICEKp1
327	4	4	31	4	1	114	25	2	4	4	2	ybt 14; ICEKp5
328	13	7	12	9	8	19	17	6	7	7	12	ybt 2; ICEKp1
329	18	41	27	46	13	41	71	9	8	26	35	ybt 4; plasmid
330	12	2	2	2	2	6	6	2	2	2	2	ybt 1; ICEKp10
331	5	19	26	5	1	79	145	9	5	5	21	ybt 9; ICEKp3
332	8	7	9	6	5	13	165	6	7	7	6	ybt 2; ICEKp1
333	8	7	9	6	5	13	14	6	7	7	6	ybt 2; ICEKp1
334	2	2	2	2	2	12	6	2	2	2	2	ybt 1; ICEKp10
335	2	2	2	2	2	180	6	2	2	2	2	ybt 1; ICEKp10
336	2	2	2	2	2	179	6	2	2	2	2	ybt 1; ICEKp10
337	2	2	2	2	2	14	6	2	2	2	2	ybt 1; ICEKp10
338	2	85	2	2	2	36	6	2	2	2	2	ybt 1; ICEKp10
339	2	2	2	2	2	6	6	2	2	10	2	ybt 1; ICEKp10
340	2	2	3	2	2	6	6	2	2	2	2	ybt 1; ICEKp10
341	2	2	2	2	2	6	12	2	2	2	2	ybt 1; ICEKp10
342	2	2	8	2	2	6	156	2	2	2	2	ybt 1; ICEKp10
343	6	4	20	61	1	253	186	2	76	4	2	ybt 13; ICEKp2
344	5	11	6	90	1	187	217	9	5	5	11	ybt 9; ICEKp3
345	5	11	6	5	1	171	192	9	5	5	11	ybt 9; ICEKp3
346	48	15	5	94	60	181	200	50	11	4	84	ybt 0; ICEKp10
347	3	12	4	11	3	432	18	3	10	16	2	ybt 10; ICEKp4
348	3	12	4	11	3	21	531	3	10	16	2	ybt 10; ICEKp4
349	118	12	4	11	3	21	18	3	100	16	2	ybt 10; ICEKp4
350	3	12	126	3	3	85	343	3	10	9	2	ybt 10; ICEKp4
351	3	12	4	66	3	137	400	3	10	60	2	ybt 10; ICEKp4
352	3	12	4	3	91	434	108	126	10	9	76	ybt 10; ICEKp4
353	4	4	5	4	1	437	530	2	4	4	20	ybt 14; ICEKp5
354	6	4	139	4	1	257	397	2	65	4	2	ybt 14; ICEKp5
355	4	4	5	4	1	337	441	2	4	4	2	ybt 14; ICEKp5
356	4	4	175	4	1	69	62	2	4	4	266	ybt 14; ICEKp5
357	4	4	5	163	1	433	532	2	4	4	2	ybt 14; ICEKp12
358	18	139	27	18	13	436	71	9	8	147	35	ybt 4; plasmid
359	18	20	172	18	13	435	38	9	8	26	22	ybt 4; plasmid
360	18	27	30	18	93	358	529	9	8	26	35	ybt 4; plasmid
361	18	20	27	18	13	440	38	9	8	26	35	ybt 4; plasmid
362	23	27	30	18	13	65	61	9	18	26	268	ybt 4; plasmid
363	18	41	27	46	13	41	71	9	104	26	35	ybt 4; plasmid
364	22	22	6	24	16	53	51	9	17	5	267	ybt 6; ICEKp5
365	5	11	173	162	1	438	537	9	20	31	263	ybt 7; ICEKp7
366	5	11	177	5	30	105	107	36	33	55	11	ybt 8; ICEKp3
367	5	137	6	5	1	25	534	9	5	5	11	ybt 9; ICEKp3
368	120	140	180	164	40	431	527	45	38	149	264	ybt 25; ICEKp2
369	120	140	180	164	40	430	526	45	38	149	264	ybt 25; ICEKp2
370	44	141	179	77	1	429	525	127	38	63	2	ybt 0; ICEKp?
371	119	61	58	165	40	427	524	45	38	148	265	ybt 0; ICEKp16 
372	5	11	94	5	66	226	239	9	60	5	119	ybt 8; ICEKp3
373	19	1	1	150	1	23	451	1	1	1	227	ybt 12; ICEKp10
374	19	1	1	1	1	58	42	1	1	21	13	ybt 12; ICEKp10
375	18	20	27	18	13	41	71	9	8	26	35	ybt 4; plasmid
