Sample_Name	dataset	country	year	source	sample_type	sample	infectionStatus	strain	lineage	CG_name	ST_Jul22	YBT	CLB	IRO	IUC	Ybt_insertion	YbST	ICEKp	KpZM	YBT_lineage	CLB_lineage	clbJ/K_fusion	transposase
ERR1023782	Wyres et al.	Australia	2013	human	urine	urine	infection	16870770	KpI	CG17/20	20	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023852	Wyres et al.	Australia	2013	human	urine	urine	infection	16870857	KpI	CG17/20	20	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1035979	Wyres et al.	Australia	2013	human	urine	urine	infection	1687088	KpI	CG17/20	20	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008728	Wyres et al.	Australia	2013	human	urine	urine	infection	16703718	KpI	CG17/20	20	ybt	-	-	-	4	135	ICEKp5	absent	14	NA	NA	NA
ERR1023752	Wyres et al.	Australia	2013	human	urine	urine	infection	16870740	KpI	CG17/20	20	ybt	-	-	-	4	137	ICEKp5	absent	14	NA	NA	NA
ERR1008659	Wyres et al.	Australia	2013	human	wound	wound	infection	16703533	KpI	CG17/20	22	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1015301	Wyres et al.	Australia	2013	human	throat	throat	carriage	16780622	KpI	CG23	23	-	-	iro	iuc	NA	NA	NA	NA	NA	NA	NA	NA
ERR1015341	Wyres et al.	Australia	unknown	human	unknown	unknown	unknown	#N/A	KpI	CG23	23	-	-	iro	iuc	NA	NA	NA	NA	NA	NA	NA	NA
SRR5082486	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	AH0586	KpI	CG25	25	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023749	Wyres et al.	Australia	2013	human	urine	urine	infection	16870735	KpI	CG25	25	ybt	-	-	-	4	63	ICEKp5	absent	6	NA	NA	NA
ERR1008687	Wyres et al.	Australia	2013	human	sputum	respiratory	infection	16703561	KpI	CG27	27	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008757	Wyres et al.	Australia	2014	human	sputum	respiratory	infection	16703748	KpI	CG27	27	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023766	Wyres et al.	Australia	2013	human	sputum	respiratory	infection	16870754	KpI	CG27	27	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008661	Wyres et al.	Australia	2013	human	urine	urine	infection	16703535	KpI	CG27	27	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023790	Wyres et al.	Australia	2013	human	urine	urine	infection	16870778	KpI	CG27	27	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023834	Wyres et al.	Australia	2013	human	urine	urine	infection	16870839	KpI	CG27	27	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008787	Wyres et al.	Australia	2014	human	wound	wound	infection	16703778	KpI	CG27	27	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1215608	Wyres et al.	Australia	2013	human	blood	blood_sterile	infection	1809031	KpI	CG27	27	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1215613	Wyres et al.	Australia	2013	human	urine	urine	infection	1809036	KpI	CG27	27	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008681	Wyres et al.	Australia	2013	human	urine	urine	infection	16703555	KpI	CG29	29	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008724	Wyres et al.	Australia	2013	human	urine	urine	infection	16703714	KpI	CG29	29	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008738	Wyres et al.	Australia	2014	human	urine	urine	infection	16703728	KpI	CG29	29	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008714	Wyres et al.	Australia	2013	human	urine	urine	infection	1670373	KpI	CG29	29	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008740	Wyres et al.	Australia	2014	human	urine	urine	infection	16703731	KpI	CG29	29	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008747	Wyres et al.	Australia	2014	human	urine	urine	infection	16703738	KpI	CG29	29	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008715	Wyres et al.	Australia	2013	human	urine	urine	infection	1670374	KpI	CG29	29	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008766	Wyres et al.	Australia	2014	human	urine	urine	infection	16703757	KpI	CG29	29	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008775	Wyres et al.	Australia	2014	human	urine	urine	infection	16703766	KpI	CG29	29	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1015287	Wyres et al.	Australia	2014	human	urine	urine	infection	1678067	KpI	CG29	29	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023843	Wyres et al.	Australia	2013	human	urine	urine	infection	16870848	KpI	CG29	29	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1035991	Wyres et al.	Australia	2013	human	urine	urine	infection	16870886	KpI	CG29	29	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR5082464	Wyres et al.	Australia	2014	human	urine	urine	infection	KC0278	KpI	CG29	29	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023722	Wyres et al.	Australia	2014	human	urine	urine	infection	1687078	KpI	n/a	30	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023666	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852140	KpI	CG34	34	ybt	-	-	-	1	90	ICEKp4	absent	10	NA	NA	NA
SRR5082460	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	AH0360	KpI	CG34	34	ybt	-	-	-	1	90	ICEKp4	absent	10	NA	NA	NA
ERR1008788	Wyres et al.	Australia	2014	human	urine	urine	infection	16703779	KpI	CG34	34	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1015281	Wyres et al.	Australia	2014	human	urine	urine	infection	1678061	KpI	CG34	34	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008702	Wyres et al.	Australia	2013	human	blood	blood_sterile	infection	16703577	KpI	CG35	35	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1015295	Wyres et al.	Australia	2013	human	rectal swab	intestinal	carriage	16780615	KpI	CG35	35	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023650	Wyres et al.	Australia	2013	human	rectal swab	intestinal	carriage	16852123	KpI	CG35	35	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023653	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852126	KpI	CG35	35	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023703	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852178	KpI	CG35	35	ybt	-	-	-	1	179	ICEKp3	absent	9	NA	NA	NA
ERR1023705	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852181	KpI	CG35	35	ybt	-	-	-	1	179	ICEKp3	absent	9	NA	NA	NA
ERR1023742	Wyres et al.	Australia	2013	human	tip	unknown	infection	16870728	KpI	CG35	35	ybt	-	-	-	plasmid	38	plasmid	absent	4	NA	NA	NA
ERR1023866	Wyres et al.	Australia	2013	human	urine	urine	infection	16870872	KpI	CG35	35	ybt	-	-	-	1	196	ICEKp3	absent	8	NA	NA	NA
ERR1023750	Wyres et al.	Australia	2013	human	wound	wound	infection	16870738	KpI	CG35	35	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023807	Wyres et al.	Australia	2013	human	wound	wound	infection	16870812	KpI	CG35	35	ybt	-	-	-	4	183	ICEKp3	absent	9	NA	NA	NA
ERR1023821	Wyres et al.	Australia	2013	human	urine	urine	infection	16870826	KpI	CG36	36	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008675	Wyres et al.	Australia	2013	human	urine	urine	infection	16703549	KpI	CG36	36	ybt	-	-	-	4	214	ICEKp3	absent	9	NA	NA	NA
ERR1023644	Wyres et al.	Australia	2013	human	rectal swab	intestinal	carriage	16852117	KpI	CG37	37	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023671	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852145	KpI	CG37	37	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023695	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852170	KpI	CG37	37	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008793	Wyres et al.	Australia	2014	human	sputum	respiratory	infection	16703785	KpI	CG37	37	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023648	Wyres et al.	Australia	2013	human	throat	throat	carriage	16852121	KpI	CG37	37	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023649	Wyres et al.	Australia	2013	human	throat	throat	carriage	16852122	KpI	CG37	37	ybt	-	-	-	plasmid	34	plasmid	absent	4	NA	NA	NA
ERR1008636	Wyres et al.	Australia	2013	human	urine	urine	infection	16703510	KpI	CG37	37	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008732	Wyres et al.	Australia	2013	human	urine	urine	infection	16703722	KpI	CG37	37	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008751	Wyres et al.	Australia	2014	human	urine	urine	infection	16703742	KpI	CG37	37	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008780	Wyres et al.	Australia	2014	human	urine	urine	infection	16703771	KpI	CG37	37	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023775	Wyres et al.	Australia	2013	human	urine	urine	infection	16870763	KpI	CG37	37	ybt	-	-	-	1	121	ICEKp4	absent	10	NA	NA	NA
ERR1023792	Wyres et al.	Australia	2013	human	urine	urine	infection	16870780	KpI	CG37	37	ybt	-	-	-	1	121	ICEKp4	absent	10	NA	NA	NA
ERR1023814	Wyres et al.	Australia	2013	human	urine	urine	infection	16870819	KpI	CG37	37	ybt	-	-	-	4	275	ICEKp11	present	15	NA	NA	NA
ERR1023646	Wyres et al.	Australia	2013	human	rectal swab	intestinal	carriage	16852119	KpI	n/a	39	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1015315	Wyres et al.	Australia	2013	human	rectal swab	intestinal	carriage	16780638	KpI	CG45	45	ybt	-	-	-	1	78	ICEKp4	absent	10	NA	NA	NA
ERR1015283	Wyres et al.	Australia	2014	human	sputum	respiratory	infection	1678063	KpI	CG45	45	ybt	-	-	-	1	80	ICEKp4	absent	10	NA	NA	NA
ERR1008684	Wyres et al.	Australia	2013	human	urine	urine	infection	16703558	KpI	CG45	45	ybt	-	-	-	1	78	ICEKp4	absent	10	NA	NA	NA
ERR1008729	Wyres et al.	Australia	2013	human	urine	urine	infection	16703719	KpI	CG45	45	ybt	-	-	-	1	93	ICEKp4	absent	10	NA	NA	NA
ERR1023761	Wyres et al.	Australia	2013	human	urine	urine	infection	16870749	KpI	CG45	45	ybt	-	-	-	1	78	ICEKp4	absent	10	NA	NA	NA
ERR1023812	Wyres et al.	Australia	2013	human	urine	urine	infection	16870817	KpI	CG45	45	ybt	-	-	-	1	93	ICEKp4	absent	10	NA	NA	NA
ERR1023838	Wyres et al.	Australia	2013	human	urine	urine	infection	16870843	KpI	CG45	45	ybt	-	-	-	1	78	ICEKp4	absent	10	NA	NA	NA
ERR1035980	Wyres et al.	Australia	2013	human	urine	urine	infection	1687089	KpI	n/a	54	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023771	Wyres et al.	Australia	2013	human	blood	blood_sterile	infection	16870759	KpI	n/a	60	ybt	-	iro	-	3	324	ICEKp1	absent	2	NA	NA	NA
ERR1023717	Wyres et al.	Australia	2013	human	wound	wound	infection	1687073	KpI	CG66	66	ybt	clb	iro	iuc	3	316	ICEKp10	present	12	1	no	no
ERR1008783	Wyres et al.	Australia	2014	human	blood	blood_sterile	infection	16703774	KpI	CG86	86	ybt	-	iro	-	3	203	ICEKp3	absent	9	NA	NA	NA
ERR1023828	Wyres et al.	Australia	2013	human	sputum	respiratory	infection	16870833	KpI	CG86	86	ybt	-	iro	iuc	3	202	ICEKp3	absent	9	NA	NA	NA
ERR1023862	Wyres et al.	Australia	2013	human	urine	urine	infection	16870867	KpI	CG86	86	ybt	-	iro	iuc	4	183	ICEKp3	absent	9	NA	NA	NA
ERR1215614	Wyres et al.	Australia	2013	human	urine	urine	infection	1809037	KpI	CG86	86	ybt	-	iro	iuc	?	EXCLUDED	EXCLUDED	EXCLUDED	EXCLUDED	EXCLUDED	EXCLUDED	EXCLUDED
ERR1035983	Wyres et al.	Australia	2013	human	sputum	respiratory	infection	16870878	KpI	CG90	91	ybt	-	-	iuc	1	111	?	present	10	NA	NA	NA
ERR1008708	Wyres et al.	Australia	2013	human	sputum	respiratory	infection	16703583	KpI	CG90	93	ybt	-	-	iuc	4/3?	103	ICEKp4	absent	10	NA	NA	NA
ERR1008784	Wyres et al.	Australia	2014	human	urine	urine	infection	16703775	KpI	CG152	105	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008637	Wyres et al.	Australia	2013	human	urine	urine	infection	16703511	KpI	CG152	105	ybt	-	iro	-	1	238	ICEKp11	absent	15	NA	NA	NA
ERR1023795	Wyres et al.	Australia	2013	human	tissue	tissue	infection	16870783	KpI	n/a	110	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008633	Wyres et al.	Australia	2013	human	blood	blood_sterile	infection	1670357	KpI	CG111	111	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008794	Wyres et al.	Australia	2014	human	blood	blood_sterile	infection	16703786	KpI	CG111	111	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023816	Wyres et al.	Australia	2013	human	blood	blood_sterile	infection	16870821	KpI	CG111	111	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023851	Wyres et al.	Australia	2013	human	blood	blood_sterile	infection	16870856	KpI	CG111	111	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023656	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852130	KpI	CG111	111	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023704	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852180	KpI	CG111	111	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008703	Wyres et al.	Australia	2013	human	sputum	respiratory	infection	16703578	KpI	CG111	111	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023817	Wyres et al.	Australia	2013	human	sputum	respiratory	infection	16870822	KpI	CG111	111	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008741	Wyres et al.	Australia	2013	human	urine	urine	infection	16703732	KpI	CG111	111	ybt	-	-	-	1	67	ICEKp7	absent	7	NA	NA	NA
ERR1023786	Wyres et al.	Australia	2013	human	blood	blood_sterile	infection	16870774	KpI	n/a	113	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR5082475	Wyres et al.	Australia	2013	human	rectal swab	intestinal	carriage	AH0148	KpI	n/a	116	ybt	-	-	-	plasmid	64	plasmid	absent	4	NA	NA	NA
ERR1023665	Wyres et al.	Australia	2014	human	throat	throat	carriage	16852139	KpI	n/a	127	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1015316	Wyres et al.	Australia	2013	human	rectal swab	intestinal	carriage	16780639	KpI	n/a	128	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008631	Wyres et al.	Australia	2013	human	sputum	respiratory	infection	1670355	KpI	CG133	133	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023738	Wyres et al.	Australia	2013	human	sputum	respiratory	infection	16870724	KpI	CG133	133	ybt	clb	-	-	3	267	ICEKp10	present	17	3	no	no
ERR1023869	Wyres et al.	Australia	2013	human	urine	urine	infection	16870875	KpI	n/a	134	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023669	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852143	KpI	CG152	152	ybt	-	-	-	4	91	ICEKp4	absent	10	NA	NA	NA
ERR1008707	Wyres et al.	Australia	2013	human	fluid	fluid	infection	16703582	KpI	n/a	176	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023868	Wyres et al.	Australia	2013	human	urine	urine	infection	16870874	KpI	n/a	180	ybt	-	-	-	1	88	ICEKp4	absent	10	NA	NA	NA
ERR1023779	Wyres et al.	Australia	2013	human	urine	urine	infection	16870767	KpI	n/a	182	ybt	-	-	-	1	110	ICEKp4	absent	10	NA	NA	NA
ERR1008649	Wyres et al.	Australia	2013	human	urine	urine	infection	16703523	KpI	n/a	185	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023831	Wyres et al.	Australia	2013	human	urine	urine	infection	16870836	KpI	n/a	185	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023765	Wyres et al.	Australia	2013	human	urine	urine	infection	16870753	KpI	n/a	200	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023645	Wyres et al.	Australia	2013	human	rectal swab	intestinal	carriage	16852118	KpIII	n/a	205	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023689	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852163	KpI	n/a	215	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023690	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852164	KpI	n/a	215	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023760	Wyres et al.	Australia	2013	human	BAL	respiratory	infection	16870748	KpI	n/a	215	ybt	-	-	-	4	11	ICEKp6	absent	5	NA	NA	NA
ERR1008680	Wyres et al.	Australia	2013	human	urine	urine	infection	16703554	KpI	n/a	221	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023744	Wyres et al.	Australia	2013	human	urine	urine	infection	16870730	KpI	n/a	221	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023718	Wyres et al.	Australia	2013	human	urine	urine	infection	1687074	KpI	n/a	221	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023719	Wyres et al.	Australia	2013	human	urine	urine	infection	1687075	KpI	n/a	221	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008725	Wyres et al.	Australia	2013	human	wound	wound	infection	16703715	KpI	n/a	221	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023640	Wyres et al.	Australia	2013	human	rectal swab	intestinal	carriage	16852113	KpI	CG230	230	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023794	Wyres et al.	Australia	2013	human	sputum	respiratory	infection	16870782	KpI	CG230	230	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023711	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852189	KpI	CG231	231	ybt	-	-	-	1	230	ICEKp11	present	15	NA	NA	NA
SRR5082462	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	AUS3471	KpI	CG231	231	ybt	-	-	-	1	230	ICEKp11	present	15	NA	NA	NA
ERR1008755	Wyres et al.	Australia	2014	human	tissue	tissue	infection	16703746	KpI	CG231	231	ybt	-	-	-	1	230	ICEKp11	present	15	NA	NA	NA
ERR1008739	Wyres et al.	Australia	2014	human	wound	wound	infection	16703730	KpI	CG231	231	ybt	-	-	-	1	230	ICEKp11	present	15	NA	NA	NA
ERR1008760	Wyres et al.	Australia	2014	human	wound	wound	infection	16703751	KpI	CG231	231	ybt	-	-	-	1	230	ICEKp11	present	15	NA	NA	NA
ERR1008765	Wyres et al.	Australia	2014	human	wound	wound	infection	16703756	KpI	CG231	231	ybt	-	-	-	1	230	ICEKp11	present	15	NA	NA	NA
SRR5082469	Wyres et al.	Australia	2014	human	wound	wound	infection	AUS3503	KpI	CG231	231	ybt	-	-	-	1	230	ICEKp11	present	15	NA	NA	NA
SRR5082477	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	AH0352	KpI	n/a	240	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR5082461	Wyres et al.	Australia	2014	human	sputum	respiratory	infection	AUS3505	KpI	n/a	240	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008667	Wyres et al.	Australia	2013	human	blood	blood_sterile	infection	16703541	KpI	n/a	247	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023664	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852138	KpI	n/a	252	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023841	Wyres et al.	Australia	2013	human	urine	urine	infection	16870846	KpI	CG253	253	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1035981	Wyres et al.	Australia	2013	human	urine	urine	infection	16870876	KpI	CG253	253	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023811	Wyres et al.	Australia	2013	human	BAL	respiratory	infection	16870816	KpI	CG37	256	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008654	Wyres et al.	Australia	2013	human	urine	urine	infection	16703528	KpI	CG36	268	ybt	-	-	-	3	144	ICEKp5	absent	14	NA	NA	NA
ERR1023788	Wyres et al.	Australia	2013	human	urine	urine	infection	16870776	KpI	CG36	268	ybt	-	-	-	3	151	ICEKp5	absent	14	NA	NA	NA
SRR5082458	Wyres et al.	Australia	2013	human	urine	urine	infection	AUS3494	KpI	n/a	280	ybt	-	-	-	3	327	ICEKp5	present	14	NA	NA	NA
ERR1023837	Wyres et al.	Australia	2013	human	tissue	tissue	infection	16870842	KpI	n/a	292	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008679	Wyres et al.	Australia	2013	human	urine	urine	infection	16703553	KpI	CG37	309	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023694	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852169	KpI	n/a	310	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008672	Wyres et al.	Australia	2013	human	urine	urine	infection	16703546	KpI	n/a	321	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023739	Wyres et al.	Australia	2013	human	fluid	fluid	infection	16870725	KpI	CG323	323	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023628	Wyres et al.	Australia	2013	human	rectal swab	intestinal	carriage	1685211	KpI	CG323	323	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023631	Wyres et al.	Australia	2013	human	rectal swab	intestinal	carriage	1685214	KpI	CG323	323	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023674	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852148	KpI	CG323	323	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023685	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852159	KpI	CG323	323	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1023692	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	16852166	KpI	CG323	323	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR5082487	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	AH0255	KpI	CG323	323	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR5082446	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	AH0424	KpI	CG323	323	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR5082466	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	AUS3475	KpI	CG323	323	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR5082467	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	AUS3477	KpI	CG323	323	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR5082474	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	AUS3478	KpI	CG323	323	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
SRR5082480	Wyres et al.	Australia	2014	human	rectal swab	intestinal	carriage	AUS3479	KpI	CG323	323	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
ERR1008629	Wyres et al.	Australia	2013	human	Ileal conduit urine	intestinal	infection	1670353	KpI	CG323	323	-	-	-	-	NA	NA	NA	NA	NA	NA	NA	NA
