assembly_accession	bioproject	biosample	wgs_master	refseq_category	taxid	species_taxid	organism_name	infraspecific_name	isolate	version_status	assembly_level	release_type	genome_rep	seq_rel_date	asm_name	submitter	gbrs_paired_asm	paired_asm_comp	ftp_path	local_filename	strain	contig_count	N50	largest_contig	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	aerobactin	salmochelin	hypermucoidy	wzi	KL	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	AGly	Col	Fcyn	Flq	Gly	MLS	Phe	Rif	Sul	Tet	Tmt	Bla	Bla_Carb	Bla_ESBL	Bla_ESBL_inhR	Bla_broad	Bla_broad_inhR
GCF_000220485.1	PRJNA224116	SAMN02603582		na	1049565	573	Klebsiella pneumoniae KCTC 2242	strain=KCTC 2242		latest	Complete Genome	Major	Full	2011/07/12	ASM22048v1	Macrogen Inc.	GCA_000220485.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/220/485/GCF_000220485.1_ASM22048v1	./refseq/bacteria/GCF_000220485.1/GCF_000220485.1_ASM22048v1_genomic.fna.gz	GCF_000220485.1_ASM22048v1_genomic.fna	2	5259571	5259571	ST375	2	1	1	1	-	0	-	0	iucABCD	iroBCDN	rmpA	wzi72	KL2	ST375	43	1	2	1	10	4	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-99*	-	-	-
GCF_000223435.1	PRJNA224116	SAMN00699801	AFXH00000000.1	na	1074486	573	Klebsiella pneumoniae 1191100241	strain=1191100241		latest	Contig	Major	Full	2011/08/16	ASM22343v2	Life Technologies	GCA_000223435.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/223/435/GCF_000223435.1_ASM22343v2	./refseq/bacteria/GCF_000223435.1/GCF_000223435.1_ASM22343v2_genomic.fna.gz	GCF_000223435.1_ASM22343v2_genomic.fna	394	34170	151374	ST395	0	2	10	16	-	0	-	0	-	-	-	wzi105	KL108	ST395	3	1	2	4	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aph3-Ia*;AadA2*;Aac3-IIa*	-	-	Qnr-S1;ParC-80I;GyrA-83I	-	MphA	CatA1*;CatB4	-	SulI	TetA;TetR	DfrA1	AmpH*;OXA-1;TEM-105*	OXA-48	CTX-M-15	-	SHV-11	-
GCF_000238715.1	PRJNA224116	SAMN02463798	ACWO00000000.1	na	665944	665944	Klebsiella sp. 4_1_44FAA	strain=4_1_44FAA		latest	Scaffold	Major	Full	2011/12/20	Klebsiella_sp_4_1_44FAA_V1	Broad Institute	GCA_000238715.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/238/715/GCF_000238715.1_Klebsiella_sp_4_1_44FAA_V1	./refseq/bacteria/GCF_000238715.1/GCF_000238715.1_Klebsiella_sp_4_1_44FAA_V1_genomic.fna.gz	GCF_000238715.1_Klebsiella_sp_4_1_44FAA_V1_genomic.fna	78	501071	1096638	ST1221	0	0	0	0	-	0	-	0	-	-	-	wzi84	KL28	ST1221	2	1	1	1	17	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	-	-
GCF_000240185.1	PRJNA84387	SAMN02602959		reference genome	1125630	573	Klebsiella pneumoniae subsp. pneumoniae HS11286	strain=HS11286		latest	Complete Genome	Major	Full	2011/12/27	ASM24018v2	 Bioinformatics & Microbial Genomics, State Key Laboratory of Microbial Metabolism, Shanghai Jiaotong University	GCA_000240185.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/185/GCF_000240185.1_ASM24018v2	./refseq/bacteria/GCF_000240185.1/GCF_000240185.1_ASM24018v2_genomic.fna.gz	GCF_000240185.1_ASM24018v2_genomic.fna	7	5333942	5333942	ST11	1	2	8	15	ybt 9; ICEKp3	15	-	0	-	-	-	wzi74	KL103	ST11	3	3	1	1	1	1	4	14	11	14	5	9	22	19	10	5	11	11	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;AadA2*;RmtB;Aac3-IId*?	-	-	ParC-80I;GyrA-83I	-	-	-	-	SulII	TetG;TetRG*?	DfrA12?	AmpH*;TEM-105*;TEM-105*;TEM-105*	KPC-2	CTX-M-14;CTX-M-14	-	SHV-11	-
GCF_000240325.1	PRJNA224116	SAMN02603580		na	1006551	1134687	Klebsiella michiganensis KCTC 1686	strain=KCTC 1686		latest	Complete Genome	Major	Full	2011/12/29	ASM24032v1	Macrogen Inc.	GCA_000240325.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/240/325/GCF_000240325.1_ASM24032v1	./refseq/bacteria/GCF_000240325.1/GCF_000240325.1_ASM24032v1_genomic.fna.gz	GCF_000240325.1_ASM24032v1_genomic.fna	1	5974109	5974109	0	0	0	2	2	-	0	-	0	-	-	-	0	-	0	147*	126*	-	171*	-	149*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aph3-Ia*?	-	-	GyrA-83T	-	-	-	-	-	-	-	OXY1-1	-	-	-	-	-
GCF_000247835.1	PRJNA224116	SAMN02463893	AGDI00000000.1	na	1134687	1134687	Klebsiella michiganensis	strain=10-5242		latest	Scaffold	Major	Full	2012/02/21	Kleb_oxyt_10-5242_V1	Broad Institute	GCA_000247835.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/835/GCF_000247835.1_Kleb_oxyt_10-5242_V1	./refseq/bacteria/GCF_000247835.1/GCF_000247835.1_Kleb_oxyt_10-5242_V1_genomic.fna.gz	GCF_000247835.1_Kleb_oxyt_10-5242_V1_genomic.fna	6	4720244	4720244	0	0	0	1	1	-	0	-	0	-	-	-	0	-	0	147*	-	-	171*	-	149*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83T	-	-	-	-	-	-	-	OXY5-1*	-	-	-	-	-
GCF_000247855.1	PRJNA224116	SAMN02463894	AGDJ00000000.1	na	883118	571	Klebsiella oxytoca 10-5243	strain=10-5243		latest	Scaffold	Major	Full	2012/02/21	Kleb_oxyt_10-5243_V1	Broad Institute	GCA_000247855.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/855/GCF_000247855.1_Kleb_oxyt_10-5243_V1	./refseq/bacteria/GCF_000247855.1/GCF_000247855.1_Kleb_oxyt_10-5243_V1_genomic.fna.gz	GCF_000247855.1_Kleb_oxyt_10-5243_V1_genomic.fna	3	4989371	4989371	0	0	0	1	1	-	0	-	0	-	-	-	0	-	0	147	126	-	171*	-	149*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83T	-	-	-	-	-	-	-	OXY2-5	-	-	-	-	-
GCF_000247875.1	PRJNA224116	SAMN02463895	AGDL00000000.1	na	883120	571	Klebsiella oxytoca 10-5245	strain=10-5245		latest	Scaffold	Major	Full	2012/02/21	Kleb_oxyt_10-5245_V1	Broad Institute	GCA_000247875.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/875/GCF_000247875.1_Kleb_oxyt_10-5245_V1	./refseq/bacteria/GCF_000247875.1/GCF_000247875.1_Kleb_oxyt_10-5245_V1_genomic.fna.gz	GCF_000247875.1_Kleb_oxyt_10-5245_V1_genomic.fna	6	5916283	5916283	0	0	0	1	1	-	0	-	0	-	-	-	0	-	0	147	126*	-	171*	-	149	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83T	-	-	-	-	-	-	-	OXY2-2*	-	-	-	-	-
GCF_000247915.1	PRJNA224116	SAMN02463898	AGDP00000000.1	na	1134687	1134687	Klebsiella michiganensis	strain=10-5250		latest	Scaffold	Major	Full	2012/02/21	Kleb_oxyt_10-5250_V1	Broad Institute	GCA_000247915.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/247/915/GCF_000247915.1_Kleb_oxyt_10-5250_V1	./refseq/bacteria/GCF_000247915.1/GCF_000247915.1_Kleb_oxyt_10-5250_V1_genomic.fna.gz	GCF_000247915.1_Kleb_oxyt_10-5250_V1_genomic.fna	3	5942961	5942961	0	0	0	1	1	-	0	-	0	-	-	-	0	-	0	147*	-	-	-	-	148*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83T	-	-	-	-	-	-	-	OXY4-1*?	-	-	-	-	-
GCF_000252915.2	PRJNA224116	SAMN02471877	AIEM00000000.1	na	1134455	571	Klebsiella oxytoca 11492-1	strain=11492-1		latest	Contig	Minor	Full	2012/03/16	Ko11492-1_1.0	Institute for Genome Science	GCA_000252915.3	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/252/915/GCF_000252915.2_Ko11492-1_1.0	./refseq/bacteria/GCF_000252915.2/GCF_000252915.2_Ko11492-1_1.0_genomic.fna.gz	GCF_000252915.2_Ko11492-1_1.0_genomic.fna	212	106308	285851	0	0	2	7	11	-	0	-	0	-	-	-	0	-	0	147	126*	-	171*	-	149	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadB;AadA2	-	-	Qnr-A1;GyrA-83T	-	MsrE;MphE*	CatB3*;CmlA1*	-	SulI?	-	DfrA19*	FOX-5;OXY2-2*	CARB-3*	-	-	-	-
GCF_000255975.2	PRJNA224116	SAMN02469356	AJHE00000000.2	na	1162297	573	Klebsiella pneumoniae subsp. pneumoniae LCT-KP214	strain=LCT-KP214		latest	Scaffold	Major	Full	2013/10/23	ASM25597v2	BGI	GCA_000255975.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/255/975/GCF_000255975.2_ASM25597v2	./refseq/bacteria/GCF_000255975.2/GCF_000255975.2_ASM25597v2_genomic.fna.gz	GCF_000255975.2_ASM25597v2_genomic.fna	6	5337335	5337335	ST48	3	0	4	9	ybt 17; ICEKp10	289-1LV	clb 3	17-1LV	-	-	-	wzi167	KL124	ST48	2	5	2	2	7	1	10	6	15	5	4	11	28*	26	2	11	4	2	2	10	2	4	2	2	2	8	2	2	2	2	2	2	2	AadA2;AadB;Aph3''Ia;AadA1-pm*?;AadA2	-	-	-	-	-	CatA1*;CmlA1*	-	SulI	TetB*	-	AmpH*;TEM-105*;TEM-105*	-	-	-	-	-
GCF_000263095.1	PRJNA224116	SAMN02470950	AJVY00000000.1	na	1177153	573	Klebsiella pneumoniae subsp. pneumoniae LZ	strain=LZ		latest	Contig	Major	Full	2012/05/16	Klebphe1.0	Shanghai Jiao Tong University	GCA_000263095.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/263/095/GCF_000263095.1_Klebphe1.0	./refseq/bacteria/GCF_000263095.1/GCF_000263095.1_Klebphe1.0_genomic.fna.gz	GCF_000263095.1_Klebphe1.0_genomic.fna	196	118550	297874	ST1222	0	0	0	0	-	0	-	0	-	-	-	wzi163	KL?	ST1222	2	3	1	1	1	1	13	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-103*;AmpH*	-	-	-	-	-
GCF_000269585.1	PRJNA224116	SAMN02463897	AKCF00000000.1	na	883123	571	Klebsiella oxytoca 10-5248	strain=10-5248		latest	Contig	Major	Full	2012/06/15	PB_Kleb_oxyt_10-5248_V1	Broad Institute	GCA_000269585.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/269/585/GCF_000269585.1_PB_Kleb_oxyt_10-5248_V1	./refseq/bacteria/GCF_000269585.1/GCF_000269585.1_PB_Kleb_oxyt_10-5248_V1_genomic.fna.gz	GCF_000269585.1_PB_Kleb_oxyt_10-5248_V1_genomic.fna	4	5846092	5846092	0	0	0	1	1	-	0	-	0	-	-	-	0	-	0	147	126*	-	171*	-	149*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83T	-	-	-	-	-	-	-	OXY2-7	-	-	-	-	-
GCF_000276705.2	PRJNA224116	SAMN02603642		na	1191061	1134687	Klebsiella michiganensis E718	strain=E718		latest	Complete Genome	Major	Full	2012/07/10	ASM27670v2	National Chung Hsing University	GCA_000276705.2	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/276/705/GCF_000276705.2_ASM27670v2	./refseq/bacteria/GCF_000276705.2/GCF_000276705.2_ASM27670v2_genomic.fna.gz	GCF_000276705.2_ASM27670v2_genomic.fna	3	6097032	6097032	0	0	2	11	37	-	0	-	0	-	-	-	0	-	0	147*	126*	-	-	-	149*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*;StrB;AadA5;StrA*?;Aph3''Ia*?;RmtC;Aac3-IId*;StrB*;AadA5;StrA*?;AadA2*;ArmA;ArmA	-	FosA	Qnr-S1;ParC-80I;GyrA-83I	-	MphA;MsrE;MsrE;MphE*;MphE*	CatA1*?	Arr3	SulI;SulII*;SulI*;SulI;SulI;SulII	TetB*	DfrA17;DfrA12;DfrA1*	OXY1-1*;TEM-105*?	NDM-1	CTX-M-3;SHV-12	-	-	-
GCF_000281255.1	PRJNA224116	SAMN01057609	AJZV00000000.1	na	1087441	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH2	strain=KPNIH2		latest	Contig	Major	Full	2012/07/24	KPNIH2_1	NIH Intramural Sequencing Center	GCA_000281255.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/255/GCF_000281255.1_KPNIH2_1	./refseq/bacteria/GCF_000281255.1/GCF_000281255.1_KPNIH2_1_genomic.fna.gz	GCF_000281255.1_KPNIH2_1_genomic.fna	147	154879	372798	ST258	0	2	9	12	-	0	-	0	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;Aph3-Ia*;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI	-	DfrA12	AmpH*;OXA-9*	KPC-3	-	-	SHV-11	TEM-122*
GCF_000281275.1	PRJNA224116	SAMN01057607	AJZX00000000.1	na	1087444	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH5	strain=KPNIH5		latest	Contig	Major	Full	2012/07/24	KPNIH5_1	NIH Intramural Sequencing Center	GCA_000281275.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/275/GCF_000281275.1_KPNIH5_1	./refseq/bacteria/GCF_000281275.1/GCF_000281275.1_KPNIH5_1_genomic.fna.gz	GCF_000281275.1_KPNIH5_1_genomic.fna	168	126254	291095	ST258	0	2	9	12	-	0	-	0	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;Aph3-Ia*;Aac6-Ib	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI	-	DfrA12	AmpH*;OXA-9*	KPC-3	-	-	SHV-11	TEM-122*
GCF_000281295.1	PRJNA224116	SAMN01057608	AJZY00000000.1	na	1087445	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH6	strain=KPNIH6		latest	Contig	Major	Full	2012/07/24	KPNIH6_1	NIH Intramural Sequencing Center	GCA_000281295.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/295/GCF_000281295.1_KPNIH6_1	./refseq/bacteria/GCF_000281295.1/GCF_000281295.1_KPNIH6_1_genomic.fna.gz	GCF_000281295.1_KPNIH6_1_genomic.fna	149	130041	340153	ST258	0	2	9	12	-	0	-	0	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;Aac6-Ib;Aph3-Ia*	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI	-	DfrA12	AmpH*;OXA-9*	KPC-3	-	-	SHV-11	TEM-122*
GCF_000281315.1	PRJNA224116	SAMN01057613	AKAB00000000.1	na	1094169	573	Klebsiella pneumoniae subsp. pneumoniae KPNIH9	strain=KPNIH9		latest	Contig	Major	Full	2012/07/24	KPNIH9_1	NISC	GCA_000281315.1	identical	ftp://ftp.ncbi.nlm.nih.gov/genomes/all/GCF/000/281/315/GCF_000281315.1_KPNIH9_1	./refseq/bacteria/GCF_000281315.1/GCF_000281315.1_KPNIH9_1_genomic.fna.gz	GCF_000281315.1_KPNIH9_1_genomic.fna	115	178365	372779	ST258	0	2	9	12	-	0	-	0	-	-	-	wzi154	KL107	ST258	3	3	1	1	1	1	79	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac6-Ib;AadA2*;Aph3-Ia*	-	-	ParC-80I;GyrA-83I	-	MphA	CatA1*	-	SulI	-	DfrA12	AmpH*;OXA-9*	KPC-3	-	-	SHV-11	TEM-122*
