strain	contig_count	N50	largest_contig	ST	virulence_score	resistance_score	num_resistance_classes	num_resistance_genes	Yersiniabactin	YbST	Colibactin	CbST	aerobactin	salmochelin	hypermucoidy	wzi	KL	Chr_ST	gapA	infB	mdh	pgi	phoE	rpoB	tonB	ybtS	ybtX	ybtQ	ybtP	ybtA	irp2	irp1	ybtU	ybtT	ybtE	fyuA	clbA	clbB	clbC	clbD	clbE	clbF	clbG	clbH	clbI	clbL	clbM	clbN	clbO	clbP	clbQ	AGly	Col	Fcyn	Flq	Gly	MLS	Phe	Rif	Sul	Tet	Tmt	Bla	Bla_Carb	Bla_ESBL	Bla_ESBL_inhR	Bla_broad	Bla_broad_inhR
ERR474482	173	231320	1350481	ST11	1	1	8	15	ybt 10; ICEKp4	112-2LV	-	0	-	-	-	wzi24	"KL24 (KL54,KL55)"	ST11	3	3	1	1	1	1	4	3	10	4	3	29	5	122*	3	10	9	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;Aac3-IIa*;StrB;StrA*?;Aph3-Ia*	-	-	GyrA-83F;GyrA-87A	-	MphA	CatA1*;CatB4?	-	SulI;SulII	-	DfrA12	AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	SHV-11	-
ERR474483	137	330296	1450870	ST1	0	1	6	7	-	0	-	0	-	-	-	wzi45	KL45	ST1	4	4	1	1	7	4	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83I	-	-	CatA2*	-	SulII	TetA;TetR	DfrA12	SHV-132*;AmpH*;TEM-105*	-	CTX-M-15	-	-	-
ERR474484	168	247608	990036	ST11	1	1	7	12	ybt 10; ICEKp4	112-2LV	-	0	-	-	-	wzi24	"KL24 (KL54,KL55)"	ST11	3	3	1	1	1	1	4	3	10	4	3	29	5	122*	3	10	9	51	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*;StrB;StrA?;Aph3-Ia*	-	-	GyrA-83F;GyrA-87A	-	MphA	CatB4?;CatA1*	-	SulII	-	-	AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	SHV-11	-
ERR474485	143	330266	1450533	ST1	0	1	8	11	-	0	-	0	-	-	-	wzi45	KL45	ST1	4	4	1	1	7	4	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*;AadA2*	-	-	GyrA-83I	-	MphA	CatB4?;CatA2*	-	SulI	TetA;TetR	DfrA12	SHV-132*;AmpH*;OXA-1;TEM-105*	-	CTX-M-15	-	-	-
ERR474486	278	197979	851586	ST250	0	1	5	7	-	0	-	0	-	-	-	wzi100	KL10	ST250	16	18	45	44	55	22	67	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2;AadB	-	-	Qnr-A1*	-	-	-	-	SulI?	TetA*?	-	AmpH*;LEN-24*	-	SHV-12*;CTX-M-9	-	-	-
ERR474487	111	330354	729878	ST16	0	1	8	10	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*	-	-	ParC-80A;ParC-84N	-	MphA	CatB4?	-	SulI	TetA;TetR	DfrA12	SHV-145*;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR474489	112	377620	1487271	ST336	1	0	4	4	ybt 15; ICEKp11	230	-	0	-	-	-	wzi141	KL25	ST336	2	1	1	1	72	4	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*	-	-	-	-	MphA	-	-	-	TetD	DfrA30*	AmpH*;TEM-105*	-	-	-	-	-
ERR474490	176	224737	466909	ST15	0	1	6	10	-	0	-	0	-	-	-	wzi93	KL112	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*	-	-	ParC-80A;ParC-84N	-	-	-	-	SulII	TetA;TetR	DfrA14	AmpH*;TEM-105*	-	SHV-106*;CTX-M-15	-	-	-
ERR474492	194	357132	974032	ST147	0	1	6	10	-	0	-	0	-	-	-	wzi64	KL64	ST147	3	4	6	1	7	4	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IId*;AadA1-pm*?;Aac6-Ib	-	-	GyrA-83I	-	-	-	-	SulII	-	DfrA14	AmpH*;SHV-67*;OXA-9*	-	CTX-M-15	-	TEM-135*	-
ERR474493	108	342302	891880	ST111-1LV	1	1	2	3	ybt 6; ICEKp5	63-3LV	-	0	-	-	-	wzi63	KL63	ST111-1LV	2	1	5	1	17	4	42*	22	22	6*	24	16	53*	51	9	17	5	30*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	AmpH*	-	SHV-40*	-	-	-
ERR474494	122	484294	796033	ST1686	0	1	1	1	-	0	-	0	-	-	-	wzi351	KL113	ST1686	101	1	1	1	9	1	10	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	SHV-106*	-	-	-
ERR474496	174	200290	469648	ST15	1	1	6	12	ybt 13; ICEKp2	299	-	0	-	-	-	wzi24	"KL24 (KL54,KL55)"	ST15	1	1	1	1	1	1	1	6	4	20	14	1	126	131	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB*;StrA*;Aac3-IIa*;AadA1-pm*?	-	-	GyrA-83F;GyrA-87A	-	-	CatB4?;CatA2*	-	SulII	-	DfrA14	AmpH*;OXA-9;OXA-1;TEM-150*	-	SHV-106*;CTX-M-15	-	-	-
ERR474497	164	198617	469649	ST15	1	1	6	11	ybt 13; ICEKp2	299	-	0	-	-	-	wzi24	"KL24 (KL54,KL55)"	ST15	1	1	1	1	1	1	1	6	4	20	14	1	126	131	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB*;StrA*;AadA1-pm*?;Aac6-Ib	-	-	GyrA-83F;GyrA-87A	-	-	CatA2*	-	SulII	-	DfrA14	AmpH*;OXA-9;TEM-150*	-	SHV-106*;CTX-M-15	-	-	-
ERR474498	402	189942	479336	ST1608-1LV	0	0	0	0	-	0	-	0	-	-	-	wzi51	KL27	ST1608-1LV	29	24	46	27	47	22	341	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;LEN-24*	-	-	-	-	-
ERR474500	209	191382	632863	ST874	0	1	8	14	-	0	-	0	-	-	-	wzi222	KL45	ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*;StrB?;StrA?;AadA5;Aph3-Ia*	-	-	-	-	MphA	CatB4?	-	SulII*;SulI	TetD	DfrA17;dhfr7	AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	SHV-1*?	-
ERR474501	120	243228	445548	ST15	1	1	4	7	ybt 10; ICEKp4	84-2LV	-	0	-	-	-	wzi93	KL112	ST15	1	1	1	1	1	1	1	3	12	4*	3	14	50	216	3	15	8	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*	-	-	-	-	-	CatB4?	-	SulII	-	-	AmpH*;TEM-105*;OXA-1	-	SHV-106*;CTX-M-15	-	-	-
ERR474502	228	191381	632901	ST874	0	1	8	14	-	0	-	0	-	-	-	wzi222	KL45	ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*;StrB?;StrA?;AadA5;Aph3-Ia*	-	-	-	-	MphA	CatB4?	-	SulII*;SulI	TetD	DfrA17;dhfr7	AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	SHV-1?	-
ERR474503	87	329091	586529	ST45-2LV	0	0	0	0	-	0	-	0	-	-	-	0	-	ST45-2LV	2	1	1	5	7	1	271	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	SHV-25;AmpH*	-	-	-	-	-
ERR474504	276	112067	355757	ST34-2LV	0	0	2	2	-	0	-	0	-	-	-	0	-	ST34-2LV	2	3	6	1	9*	7	4*	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83P	-	-	-	-	-	-	-	AmpH*	-	-	-	-	SHV-26
ERR474507	124	293158	586523	ST16	0	1	7	8	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*	-	-	ParC-80A;ParC-84N	-	MphA	CatB4?	-	SulI	-	DfrA12	AmpH*;SHV-145*;OXA-1	-	CTX-M-15	-	-	-
ERR474508	89	389511	1561688	ST336	1	1	6	8	ybt 15; ICEKp11	230	-	0	-	-	-	wzi141	KL25	ST336	2	1	1	1	72	4	4	6	15	22	4	1	37	34	14	1	4	17	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aph3-Ia*	-	-	QnrB1?	-	-	CatB4?	-	SulII*	-	DfrA14	SHV-94*;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR474509	340	153046	387827	ST27-1LV	0	1	1	1	-	0	-	0	-	-	-	wzi281	KL38	ST27-1LV	2	1	11	1	9	10	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	SHV-40	-	-	-
ERR474510	172	247430	839289	ST11	0	1	7	11	-	0	-	0	-	-	-	wzi177	KL125 (KL114)	ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*;Aph3-Ia*	-	-	ParC-80I	-	MphA	CatB4?	-	-	TetA;TetR;TetD	DfrA14	AmpH*;OXA-1;TEM-105*	-	SHV-12?;CTX-M-15	-	-	-
ERR474512	153	247607	786966	ST11	0	1	7	9	-	0	-	0	-	-	-	wzi177	KL125 (KL114)	ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*;Aac3-IId*	-	-	ParC-80A;ParC-84N	-	-	CatA2*	-	-	TetD	DfrA14	AmpH*;TEM-105*;TEM-105*;TEM-105*	-	CTX-M-15?	-	SHV-11	-
ERR474513	107	288907	679558	ST15	1	1	2	3	ybt 10; ICEKp4	104	-	0	-	-	-	wzi93	KL112	ST15	1	1	1	1	1	1	1	3	3	4	3	17	56	7	18	3	3	32	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83F;GyrA-87A	-	-	-	-	-	-	-	AmpH*	-	SHV-106*	-	-	-
ERR474514	165	270182	498937	ST874-1LV	0	1	8	15	-	0	-	0	-	-	-	wzi222	KL45	ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*;Aph3-Ia*	-	-	GyrA-83R;GyrA-87G	-	MphA	CatB4?	-	SulI;SulII	TetA;TetR	DfrA12	AmpH*;SHV-121;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR474516	208	246152	482146	ST925	0	0	1	2	-	0	-	0	-	-	-	wzi51	KL27	ST925	16	18	21	27	153	40	85	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	AmpH*;LEN-24*	-	-	-	-	-
ERR474517	203	173103	377430	ST377	0	1	6	8	-	0	-	0	-	-	-	wzi173	"KL102 (KL149,KL155)"	ST377	10	20	2	1	9	11	12	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?;Aac3-IIa*	-	-	QnrB2	-	-	CatB4?	-	SulI*;SulI*	-	DfrA15b*	AmpH*;SHV-110;OXA-1	-	CTX-M-15	-	-	-
ERR474518	163	181359	801169	ST11	0	0	7	9	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST11	3	3	1	1	1	1	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*	-	-	ParC-80A;ParC-84N	-	MphA	CatA1*;CatB4?	-	SulI	-	DfrA12	AmpH*;OXA-1	-	-	-	SHV-11	-
ERR474520	149	198502	456249	ST15	1	1	2	4	ybt 13; ICEKp2	299	-	0	-	-	-	wzi24	"KL24 (KL54,KL55)"	ST15	1	1	1	1	1	1	1	6	4	20	14	1	126	131	2	4	52	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	AmpH*	-	SHV-106*;CTX-M-15	-	-	-
ERR474522	99	492109	1423636	ST16	0	1	8	10	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*	-	-	GyrA-83F;GyrA-87N	-	MphA	CatB4?	-	SulI	TetA;TetR	DfrA12	SHV-145*;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR474524	107	250536	964496	ST37	0	1	3	5	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST37	2	9	2	1	13	1	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	AmpH*	-	SHV-40*;TEM-106*	-	-	-
ERR474525	176	245671	641947	ST874-1LV	0	1	7	13	-	0	-	0	-	-	-	wzi222	KL45	ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*;Aph3-Ia*	-	-	-	-	MphA	CatB4?	-	SulI;SulII	TetA;TetR	DfrA12	AmpH*;SHV-121;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR474527	131	177504	574030	ST372-1LV	0	0	1	1	-	0	-	0	-	-	-	wzi95	KL20	ST372-1LV	2	1	1	1	1	15	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*	-	-	-	SHV-61	-
ERR474530	138	201328	409889	ST15	0	1	5	8	-	0	-	0	-	-	-	wzi93	KL112	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*	-	-	GyrA-83F;GyrA-87A	-	-	CatB4?	-	-	TetA;TetR	-	AmpH*;OXA-1	-	SHV-106*;CTX-M-15	-	-	-
ERR474531	251	132439	370865	ST15	0	1	5	6	-	0	-	0	-	-	-	wzi93	KL112	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IIa*	-	-	QnrB1	-	-	CatB4?	-	-	TetA;TetR	-	AmpH*;OXA-1	-	CTX-M-15	-	-	-
ERR474532	120	284428	713334	ST15	0	1	7	11	-	0	-	0	-	-	-	wzi19	KL19	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA	-	-	GyrA-83F;GyrA-87A	-	-	CatA1*	-	SulI	TetA;TetR	DfrA12	AmpH*	-	SHV-106*	-	-	-
ERR474534	125	377294	729420	ST16	0	1	8	10	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*	-	-	ParC-80A;ParC-84N	-	MphA	CatB4?	-	SulI	TetA;TetR	DfrA12	SHV-145*;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR474535	120	389104	729416	ST16	0	0	7	9	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST16	2	1	2	1	4	4	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*	-	-	ParC-80A;ParC-84N	-	MphA	CatB4?	-	SulI	TetA;TetR	DfrA12	SHV-145*;AmpH*;TEM-105*;OXA-1	-	-	-	-	-
ERR474538	179	228608	964430	ST874	0	1	7	12	-	0	-	0	-	-	-	wzi222	KL45	ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA;AadA5;Aac3-IIa*;Aph3-Ia*	-	-	ParC-80A;ParC-84H	-	MphA	CatB4?	-	SulI	-	DfrA17	SHV-121;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR474540	213	191365	853932	ST874	0	1	7	12	-	0	-	0	-	-	-	wzi222	KL45	ST874	4	1	1	1	7	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA;AadA5;Aac3-IIa*;Aph3-Ia*	-	-	ParC-80A;ParC-84H	-	MphA	CatB4?	-	SulI	-	DfrA17	SHV-121;AmpH*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR474541	161	270015	807157	ST874-1LV	0	1	8	15	-	0	-	0	-	-	-	wzi222	KL45	ST874-1LV	4	1	1	1	7*	1	22	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2*;StrB;StrA;Aac3-IIa*;Aph3-Ia*	-	-	GyrA-83Y;GyrA-87N	-	MphA	CatB4?	-	SulI;SulII	TetA;TetR	DfrA12	AmpH*;SHV-121;OXA-1	-	CTX-M-15?	-	-	-
ERR474543	130	170138	481387	ST340	0	0	4	5	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2	-	-	ParC-80A;ParC-84N	-	-	-	-	SulI	-	-	AmpH*	-	-	-	SHV-11	-
ERR474544	143	191614	465865	ST340	0	1	7	7	-	0	-	0	-	-	-	wzi50	"KL15 (KL17,KL51,KL52)"	ST340	3	3	1	1	1	1	18	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA2	-	-	ParC-80I	-	-	CatB4?	-	SulI	-	DfrA30*	AmpH*;OXA-1	-	CTX-M-15*	-	SHV-11	-
ERR474545	269	143185	473502	ST1380	0	1	4	4	-	0	-	0	-	-	-	wzi31	KL31	ST1380	2	3	1	1	9	10	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AadA1-pm*?	-	-	-	-	-	CatB2	-	SulI	-	-	AmpH*	-	SHV-12*?	-	-	-
ERR474547	133	350104	464699	ST101	0	1	5	9	-	0	-	0	-	-	-	wzi29	KL196	ST101	2	6	1	5	4	1	6	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	Aac3-IId*;StrB*;StrA?	-	-	GyrA-83H;GyrA-87H	-	-	-	-	SulII	TetA;TetR	-	AmpH*;TEM-105*	-	SHV-106*	-	-	-
ERR474548	173	198643	456248	ST15	0	1	6	13	-	0	-	0	-	-	-	wzi24	"KL24 (KL54,KL55)"	ST15	1	1	1	1	1	1	1	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ArmA;Aac3-IId*;AadA1-pm*?;Aac6-Ib*?	-	-	ParC-80A;ParC-84N	-	MsrE;MphE*	CatB4?;CatA2*	-	-	-	-	AmpH*;OXA-9;OXA-1	-	SHV-106*;CTX-M-15	-	-	TEM-122*
ERR474551	113	274060	1334582	ST785	1	0	2	2	ybt 16; ICEKp12	277-3LV	-	0	-	-	-	wzi105	KL108	ST785	2	1	2	69	10	27	19	6	15	5	4*	11	245*	23*	2	11	4	2	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	GyrA-83F	-	-	-	-	-	TetD	-	AmpH*;SHV-33*	-	-	-	-	-
ERR474552	129	296901	809105	ST225	0	0	0	0	-	0	-	0	-	-	-	wzi59	KL3	ST225	10	1	1	1	12	1	38	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	AmpH*;SHV-27	-	-	-	-	-
ERR474553	165	277961	730995	ST2004	0	1	7	12	-	0	-	0	-	-	-	0	-	ST2004	4	1	2	1	1	114	4	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	StrB;StrA*;Aac3-IIa*	-	-	QnrB1?;GyrA-83R;GyrA-87G	-	-	CatB4?	-	SulII	TetA;TetR	DfrA14	AmpH*;SHV-168*;TEM-105*;OXA-1	-	CTX-M-15	-	-	-
ERR474559	109	348965	968223	ST1480	0	0	1	2	-	0	-	0	-	-	-	wzi39	KL39 (KL13)	ST1480	2	9	2	1	16	1	16	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	-	ParC-80A;ParC-84N	-	-	-	-	-	-	-	SHV-110*;AmpH*	-	-	-	-	-
